HydraGO Serial    ,HydraProbe Serial    ,Timestamp    ,Location    ,Latitude    ,Longitude    ,Soil Moisture (wfv)    ,Soil Moisture (%)    ,Soil Temperature (C)    ,Soil Temperature (F)    ,Bulk EC(Raw) (dS/m)    ,Bulk EC(TC) (dS/m)    ,Pore Water EC (dS/m)    ,Pore Water EC Offset    ,Raw Real Dielectric    ,Raw Imaginary Dielectric    ,Loss Tangent    ,Memo    ,Calibration    ,A    ,B    ,C    ,D    ,E    ,F
HG279332,278928,7/11/2023 13:18,Default,38.874476,-76.550109,0.651,65.1,26.7,80,0.34,0.33,0.47,3.4,57.998,12.099,0.21,GCW-TR-SF-5a,Default,,,,,,
HG279332,278928,7/11/2023 13:20,Default,38.874532,-76.55126,0.451,45.1,26.2,79.1,0.3,0.3,0.79,3.4,33.381,10.86,0.33,GCW-TR-SF-5b,Default,,,,,,
HG279332,278928,7/11/2023 13:21,Default,38.87429,-76.550351,0.712,71.2,26.2,79.1,0.6,0.59,0.73,3.4,66.871,21.66,0.32,GCW-TR-SF-5c,Default,,,,,,
HG279332,278928,7/11/2023 13:24,Default,38.87457,-76.551396,0.547,54.7,25.4,77.7,0.56,0.55,1.06,3.4,44.313,20.124,0.45,GCW-TR-SF-4a,Default,,,,,,
HG279332,278928,7/11/2023 13:26,Default,38.874453,-76.551289,0.633,63.3,25.4,77.7,0.53,0.52,0.78,3.4,55.515,18.916,0.34,GCW-TR-SF-4b,Default,,,,,,
HG279332,278928,7/11/2023 13:42,Default,38.874527,-76.551335,0.626,62.6,24.7,76.4,0.57,0.58,0.89,3.4,54.533,20.674,0.38,GCW-TR-SF-4c,Default,,,,,,
HG279332,278928,7/11/2023 13:43,Default,38.874497,-76.551218,0.536,53.6,24.7,76.4,0.59,0.6,1.19,3.4,43,21.375,0.5,GCW-TR-SF-3a,Default,,,,,,
HG279332,278928,7/11/2023 13:44,Default,38.8745,-76.550079,0.555,55.5,24.9,76.8,0.51,0.51,0.95,3.4,45.376,18.342,0.4,GCW-TR-SF-3b,Default,,,,,,
HG279332,278928,7/11/2023 13:45,Default,38.87472,-76.551287,0.508,50.8,24.9,76.8,0.37,0.37,0.8,3.4,39.731,13.252,0.33,GCW-TR-SF-3c,Default,,,,,,
HG279332,278928,7/11/2023 13:46,Default,38.874385,-76.551176,0.508,50.8,24.9,76.8,0.33,0.34,0.74,3.4,39.675,12.041,0.3,GCW-TR-SF-2a,Default,,,,,,
HG279332,278928,7/11/2023 13:47,Default,38.874593,-76.551023,0.527,52.7,24.9,76.8,0.44,0.44,0.9,3.4,41.99,15.873,0.38,GCW-TR-SF-2b,Default,,,,,,
HG279332,278928,7/11/2023 13:49,Default,38.874418,-76.551305,0.56,56,24.9,76.8,0.4,0.4,0.74,3.4,45.927,14.334,0.31,GCW-TR-SF-2c,Default,,,,,,
HG279332,278928,7/11/2023 13:50,Default,38.874506,-76.55136,0.203,20.3,24.9,76.8,0.15,0.15,1.33,3.4,12.258,5.505,0.45,GCW-TR-SF-6a,Default,,,,,,
HG279332,278928,7/11/2023 13:51,Default,38.874687,-76.551735,0.178,17.8,25.1,77.3,0.12,0.12,1.29,3.4,10.722,4.28,0.4,GCW-TR-SF-6b,Default,,,,,,
HG279332,278928,7/11/2023 13:53,Default,38.874532,-76.550041,0.183,18.3,25.1,77.3,0.13,0.13,1.34,3.4,11.034,4.567,0.41,GCW-TR-SF-6c,Default,,,,,,
HG279332,278928,7/11/2023 13:55,Default,38.874571,-76.551463,0.132,13.2,25.1,77.3,0.08,0.08,1.33,3.4,8.118,2.944,0.36,GCW-TR-SF-1b,Default,,,,,,
HG279332,278928,7/11/2023 13:57,Default,38.874883,-76.551379,0.066,6.6,25.9,78.6,0.05,0.05,2.37,3.4,5.053,1.927,0.38,GCW-TR-SF-1a,Default,,,,,,
HG279332,278928,7/11/2023 13:58,Default,38.874867,-76.551323,0.133,13.3,25.9,78.6,0.09,0.09,1.47,3.4,8.203,3.22,0.39,GCW-TR-SF-1c,Default,,,,,,
HG279332,278928,7/11/2023 13:59,Default,38.874909,-76.551368,0.214,21.4,25.9,78.6,0.12,0.12,0.98,3.4,12.999,4.413,0.34,GCW-UP-SF-C12a,Default,,,,,,
HG279332,278928,7/11/2023 14:00,Default,38.874598,-76.552106,0.302,30.2,25.6,78.2,0.21,0.21,1.02,3.4,19.487,7.628,0.39,GCW-UP-SF-C12b,Default,,,,,,
HG279332,278928,7/11/2023 14:01,Default,38.874505,-76.551913,0.272,27.2,25.6,78.2,0.15,0.15,0.86,3.4,17.084,5.392,0.32,GCW-UP-SF-C12c,Default,,,,,,
HG279332,278928,7/11/2023 14:03,Default,38.874607,-76.549937,0.334,33.4,25.6,78.2,0.33,0.33,1.38,3.4,22.125,11.914,0.54,GCW-UP-SF-C11a,Default,,,,,,
HG279332,278928,7/11/2023 14:03,Default,38.874663,-76.551984,0.235,23.5,25.6,78.2,0.12,0.12,0.85,3.4,14.426,4.446,0.31,GCW-UP-SF-C11b,Default,,,,,,
HG279332,278928,7/11/2023 14:04,Default,38.874735,-76.551779,0.227,22.7,25.6,78.2,0.16,0.16,1.2,3.4,13.87,5.877,0.42,GCW-UP-SF-C11c,Default,,,,,,
HG279332,278928,7/11/2023 14:05,Default,38.874625,-76.551909,0.391,39.1,25.6,78.2,0.44,0.43,1.41,3.4,27.326,15.731,0.58,GCW-UP-SF-C10a,Default,,,,,,
HG279332,278928,7/11/2023 14:06,Default,38.874802,-76.552166,0.401,40.1,25.6,78.2,0.38,0.38,1.2,3.4,28.322,13.758,0.49,GCW-UP-SF-C10b,Default,,,,,,
HG279332,278928,7/11/2023 14:06,Default,38.874532,-76.552236,0.397,39.7,25.6,78.2,0.42,0.42,1.34,3.4,27.956,15.124,0.54,GCW-UP-SF-C10c,Default,,,,,,
HG279332,278928,7/11/2023 14:07,Default,38.874731,-76.552158,0.384,38.4,25.6,78.2,0.27,0.27,0.91,3.4,26.701,9.868,0.37,GCW-UP-SF-C7a,Default,,,,,,
HG279332,278928,7/11/2023 14:08,Default,38.874828,-76.551939,0.404,40.4,25.6,78.2,0.35,0.34,1.06,3.4,28.575,12.503,0.44,GCW-UP-SF-C7b,Default,,,,,,
HG279332,278928,7/11/2023 14:09,Default,38.874528,-76.552756,0.301,30.1,25.6,78.2,0.2,0.2,0.98,3.4,19.385,7.371,0.38,GCW-UP-SF-C7c,Default,,,,,,
HG279332,278928,7/11/2023 14:10,Default,38.874793,-76.552015,0.316,31.6,25.6,78.2,0.34,0.34,1.55,3.4,20.608,12.243,0.59,GCW-UP-SF-C19a,Default,,,,,,
HG279332,278928,7/11/2023 14:11,Default,38.874827,-76.552217,0.152,15.2,25.6,78.2,0.13,0.13,1.75,3.4,9.215,4.75,0.52,GCW-UP-SF-C19b,Default,,,,,,
HG279332,278928,7/11/2023 14:12,Default,38.874796,-76.552055,0.17,17,25.6,78.2,0.16,0.16,1.83,3.4,10.273,5.691,0.55,GCW-UP-SF-C19c,Default,,,,,,
HG279332,278928,7/11/2023 14:12,Default,38.874789,-76.552149,0.222,22.2,25.6,78.2,0.24,0.24,1.86,3.4,13.517,8.736,0.65,GCW-UP-SF-C9a,Default,,,,,,
HG279332,278928,7/11/2023 14:13,Default,38.874722,-76.552103,0.303,30.3,25.9,78.6,0.39,0.38,1.85,3.4,19.567,13.854,0.71,GCW-UP-SF-C9b,Default,,,,,,
HG279332,278928,7/11/2023 14:14,Default,38.874794,-76.552325,0.219,21.9,25.9,78.6,0.22,0.22,1.74,3.4,13.3,8.039,0.6,GCW-UP-SF-C9c,Default,,,,,,
