"","Project","Region","Year","Month","Site","Zone","Gas_Sample","Sample_ID","Tree_Code","Replicate","Status","Tree_Info","CH4_ppm","CH4_Flag","CO2_ppm","CO2_Flag"
"1","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_DS_1","DS","1","Dead Standing","Dead Standing",3.85960707784836,"Within Std Curve Range",1511.65952855699,"Within Std Curve Range"
"2","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_DS_2","DS","2","Dead Standing","Dead Standing",16.349122116279,"Within Std Curve Range",7675.3767928904,"Within Std Curve Range"
"3","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_DS_3","DS","3","Dead Standing","Dead Standing",6.25274606136343,"Within Std Curve Range",32581.3390169397,"Within Std Curve Range"
"4","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_1","SF","1","Living","Sapflow Monitoring",5.32151029095413,"Within Std Curve Range",28392.3519472082,"Within Std Curve Range"
"5","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_2","SF","2","Living","Sapflow Monitoring",3.87330172153085,"Within Std Curve Range",5760.79976472008,"Within Std Curve Range"
"6","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_3","SF","3","Living","Sapflow Monitoring",9.49152929227224,"Within Std Curve Range",19497.2331439448,"Within Std Curve Range"
"7","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_4","SF","4","Living","Sapflow Monitoring",9.30665160255863,"Within Std Curve Range",22108.5589359099,"Within Std Curve Range"
"8","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_5","SF","5","Living","Sapflow Monitoring",17.5679454040205,"Within Std Curve Range",18363.9629599444,"Within Std Curve Range"
"9","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_6","SF","6","Living","Sapflow Monitoring",7.5605845330412,"Within Std Curve Range",21139.5477322865,"Within Std Curve Range"
"10","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_7","SF","7","Living","Sapflow Monitoring",8.11521760218203,"Within Std Curve Range",5562.97937876152,"Within Std Curve Range"
"11","COMPASS: Synoptic","CB",2022,"May","GWI","TR","TGAS","GWI_TGAS_TR_SF_8","SF","8","Living","Sapflow Monitoring",4.58884685394094,"Within Std Curve Range",6283.13633035904,"Within Std Curve Range"
"12","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_1","SF","1","Living","Sapflow Monitoring",5.79055183707941,"Within Std Curve Range",32722.8964437183,"Within Std Curve Range"
"13","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_2","SF","2","Living","Sapflow Monitoring",6.87242868799609,"Within Std Curve Range",69501.0868802137,"Within Std Curve Range"
"14","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_3","SF","3","Living","Sapflow Monitoring",11.261561988234,"Within Std Curve Range",41067.0711534467,"Within Std Curve Range"
"15","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_4","SF","4","Living","Sapflow Monitoring",16.5271524841513,"Within Std Curve Range",40930.7205050163,"Within Std Curve Range"
"16","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_5","SF","5","Living","Sapflow Monitoring",46.3917466947407,"Within Std Curve Range",82473.172636174,"Within Std Curve Range"
"17","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_6","SF","6","Living","Sapflow Monitoring",8.6903926368466,"Within Std Curve Range",36009.8909854228,"Within Std Curve Range"
"18","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_7","SF","7","Living","Sapflow Monitoring",156.808235045734,"Within Std Curve Range",54947.3678184327,"Within Std Curve Range"
"19","COMPASS: Synoptic","CB",2022,"May","GWI","UP","TGAS","GWI_TGAS_UP_SF_8","SF","8","Living","Sapflow Monitoring",13.1685411210207,"Within Std Curve Range",18970.396434162,"Within Std Curve Range"
"20","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_DS_1","DS","1","Dead Standing","Dead Standing",6.45474205568016,"Within Std Curve Range",1570.97961045282,"Within Std Curve Range"
"21","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_DS_2","DS","2","Dead Standing","Dead Standing",54.1531860017917,"Within Std Curve Range",3586.5086325404,"Within Std Curve Range"
"22","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_DS_3","DS","3","Dead Standing","Dead Standing",37.0691180078858,"Within Std Curve Range",7149.41779717204,"Within Std Curve Range"
"23","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_1","SF","1","Living","Sapflow Monitoring",852.520668843875,"Within Std Curve Range",28745.2376306316,"Within Std Curve Range"
"24","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_2","SF","2","Living","Sapflow Monitoring",11.3950847641383,"Within Std Curve Range",22753.7234027835,"Within Std Curve Range"
"25","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_3","SF","3","Living","Sapflow Monitoring",6.68755099828248,"Within Std Curve Range",12251.9861958828,"Within Std Curve Range"
"26","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_4","SF","4","Living","Sapflow Monitoring",34.3644258805941,"Within Std Curve Range",27437.3692921058,"Within Std Curve Range"
"27","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_5","SF","5","Living","Sapflow Monitoring",19.2421155942049,"Within Std Curve Range",82033.6089697622,"Within Std Curve Range"
"28","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_6","SF","6","Living","Sapflow Monitoring",21.9502313824172,"Within Std Curve Range",12408.7920449669,"Within Std Curve Range"
"29","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_7","SF","7","Living","Sapflow Monitoring",13.664971954511,"Within Std Curve Range",19363.1511632232,"Within Std Curve Range"
"30","COMPASS: Synoptic","CB",2022,"May","MSM","TR","TGAS","MSM_TGAS_TR_SF_8","SF","8","Living","Sapflow Monitoring",3.88699636521334,"Within Std Curve Range",3675.13543828194,"Within Std Curve Range"
"31","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_1","SF","1","Living","Sapflow Monitoring",11.4258977124239,"Within Std Curve Range",48639.9583481979,"Within Std Curve Range"
"32","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_2","SF","2","Living","Sapflow Monitoring",28.9105340340426,"Within Std Curve Range",18667.9421181685,"Within Std Curve Range"
"33","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_3","SF","3","Living","Sapflow Monitoring",11.6313173676613,"Within Std Curve Range",50947.1562168434,"Within Std Curve Range"
"34","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_4","SF","4","Living","Sapflow Monitoring",9.22790740138432,"Within Std Curve Range",56949.6046792228,"Within Std Curve Range"
"35","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_5","SF","5","Living","Sapflow Monitoring",25.9593383204661,"Within Std Curve Range",39517.6008613085,"Within Std Curve Range"
"36","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_6","SF","6","Living","Sapflow Monitoring",35.6551460476688,"Within Std Curve Range",33314.4682848791,"Within Std Curve Range"
"37","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_7","SF","7","Living","Sapflow Monitoring",8.40622878043493,"Within Std Curve Range",31111.4803657459,"Within Std Curve Range"
"38","COMPASS: Synoptic","CB",2022,"May","MSM","UP","TGAS","MSM_TGAS_UP_SF_8","SF","8","Living","Sapflow Monitoring",19.9679317093769,"Within Std Curve Range",45690.3779199678,"Within Std Curve Range"
